0_,1_Symbol,2_Company Name,3_,4_High,5_Offer Shares,6_Offer Price,7_Close Price,8_Bid Price,9_Bid Shares,10_Low,11_Shares,12_Prev Close,13_Chg,14_%,15_Trades,16_Avg Price,17_52 Week High,18_52 Week Low,19_Riyal,Timestamp
,IGRD,Estithmar,-,1.863,"105,688",1.755,1.755,1.754,"10,000",1.755,"9,072,286",1.780,-0.025,1.40,401,1.799,2.765,1.423,"16,323,493",2023-03-15 16:21:26.406709+00:00
,QAMC,QAMCO,-,1.699,"198,793",1.659,1.642,1.642,"79,220",1.640,"4,509,445",1.663,-0.021,1.26,254,1.657,2.819,1.460,"7,471,394",2023-03-15 16:21:26.406709+00:00
,QNBK,QNB,-,16.13,"4,918",15.67,15.66,15.66,"12,000",15.66,"3,836,988",15.75,-0.09,0.57,"2,389",15.80,27.00,15.54,"60,636,731",2023-03-15 16:21:26.406709+00:00
,QIBK,QIB,+,18.25,"9,157",17.72,17.61,17.61,"16,162",17.60,"1,201,594",17.53,0.08,0.46,965,17.87,28.00,17.53,"21,467,535",2023-03-15 16:21:26.406709+00:00
,GISS,Gulf Inter,-,1.699,"105,893",1.650,1.650,1.640,"10,000",1.650,"3,407,830",1.679,-0.029,1.73,115,1.670,2.348,1.449,"5,689,876",2023-03-15 16:21:26.406709+00:00
,QGMD,Qatar German Med,-,0.932,"24,398",0.885,0.878,0.878,"68,230",0.878,"3,162,668",0.900,-0.022,2.44,121,0.897,2.679,0.867,"2,837,590",2023-03-15 16:21:26.406709+00:00
,ERES,Ezdan,-,0.866,"61,238",0.848,0.840,0.840,"27,000",0.840,"1,217,534",0.850,-0.010,1.18,79,0.850,1.529,0.780,"1,035,381",2023-03-15 16:21:26.406709+00:00
,MRDS,Mazaya,-,0.569,"220,656",0.546,0.546,0.542,"1,000",0.545,"8,410,216",0.560,-0.014,2.50,137,0.555,1.003,0.522,"4,663,935",2023-03-15 16:21:26.406709+00:00
,DUBK,Dukhan Bank,+,2.990,"20,000",2.903,2.900,2.900,"239,319",2.900,"5,732,908",2.890,0.010,0.35,754,2.912,4.000,2.840,"16,696,881",2023-03-15 16:21:26.406709+00:00
,MCCS,Mannai,-,5.879,"14,976",5.677,5.677,5.660,"1,824",5.601,"436,186",5.700,-0.023,0.40,113,5.738,14.79,5.592,"2,502,631",2023-03-15 16:21:26.406709+00:00
,QFBQ,Lesha Bank,-,0.843,"139,671",0.823,0.823,0.812,"128,907",0.812,"873,048",0.830,-0.007,0.84,39,0.825,1.902,0.793,"720,420",2023-03-15 16:21:26.406709+00:00
,QIGD,Investors,-,1.819,"86,174",1.770,1.770,1.765,"10,000",1.770,"1,591,848",1.800,-0.030,1.67,93,1.787,2.700,1.575,"2,845,219",2023-03-15 16:21:26.406709+00:00
,QFLS,Qatar Fuel,-,16.50,705,16.21,16.21,16.20,"56,902",16.20,"461,321",16.50,-0.29,1.76,413,16.33,20.08,16.01,"7,533,671",2023-03-15 16:21:26.406709+00:00
,SIIS,Salam,+,0.528,"92,960",0.519,0.519,0.515,"20,000",0.515,"3,096,294",0.517,0.002,0.39,87,0.521,1.154,0.481,"1,613,283",2023-03-15 16:21:26.406709+00:00
,BRES,Barwa,-,2.810,"5,000",2.755,2.755,2.750,"15,500",2.755,"1,255,573",2.780,-0.025,0.90,303,2.779,3.968,2.600,"3,489,700",2023-03-15 16:21:26.406709+00:00
,MPHC,Mesaied,-,2.060,"49,140",2.035,2.001,2.001,"174,555",2.001,"2,501,937",2.044,-0.043,2.10,386,2.028,3.127,1.995,"5,073,265",2023-03-15 16:21:26.406709+00:00
,VFQS,Vodafone,+,1.666,"136,687",1.660,1.660,1.651,"75,000",1.605,"2,309,469",1.643,0.017,1.03,93,1.651,1.796,1.500,"3,812,773",2023-03-15 16:21:26.406709+00:00
,QIIK,QIIB,-,9.956,"10,416",9.600,9.561,9.561,"41,053",9.556,"1,148,158",10.15,-0.589,5.80,429,9.757,14.39,9.550,"11,202,342",2023-03-15 16:21:26.406709+00:00
,NLCS,Nat.leasing,-,0.659,267,0.631,0.631,0.630,"211,000",0.631,"1,002,175",0.635,-0.004,0.63,50,0.637,1.021,0.631,"638,240",2023-03-15 16:21:26.406709+00:00
,IHGS,Inma,-,3.113,"3,547",3.019,3.019,3.006,"1,000",3.005,"187,299",3.113,-0.094,3.02,28,3.051,6.680,2.800,"571,495",2023-03-15 16:21:26.406709+00:00
,CBQK,Commercial B,-,6.200,"97,402",6.105,6.105,6.102,"1,203",6.100,"3,257,916",6.160,-0.055,0.89,"1,063",6.113,8.699,4.800,"19,914,563",2023-03-15 16:21:26.406709+00:00
,DBIS,Dlala,-,0.728,"181,556",0.720,0.706,0.706,"11,836",0.701,"400,113",0.708,-0.002,0.28,28,0.717,2.027,0.681,"286,839",2023-03-15 16:21:26.406709+00:00
,QNCD,Q Cement,-,4.176,"3,190",4.168,4.005,4.005,"2,221",4.005,"137,550",4.130,-0.125,3.03,53,4.090,5.589,4.005,"562,562",2023-03-15 16:21:26.406709+00:00
,BLDN,Baladna,-,1.310,"36,500",1.300,1.300,1.291,"11,630",1.282,"1,047,760",1.310,-0.010,0.76,51,1.297,1.870,1.270,"1,359,165",2023-03-15 16:21:26.406709+00:00
,AKHI,Khaleej Ins,+,1.925,"16,168",1.877,1.877,1.870,"2,000",1.877,"315,347",1.855,0.022,1.19,43,1.886,4.240,1.710,"594,747",2023-03-15 16:21:26.406709+00:00
,QGTS,Nakilat,+,3.280,"130,000",3.200,3.200,3.195,"100,000",3.186,"3,175,564",3.150,0.050,1.59,533,3.201,4.230,3.150,"10,164,402",2023-03-15 16:21:26.406709+00:00
,GWCS,Warehousing,+,3.890,"41,635",3.780,3.780,3.555,"5,000",3.500,"63,177",3.537,0.243,6.87,16,3.654,5.006,2.900,"230,827",2023-03-15 16:21:26.406709+00:00
,QEWS,Electricity &Water,-,16.50,"100,471",16.40,16.40,16.30,"16,475",16.00,"1,501,618",17.43,-1.03,5.91,"1,008",16.34,20.00,16.00,"24,538,730",2023-03-15 16:21:26.406709+00:00
,QATI,Qatar Ins,=,1.625,"19,000",1.599,1.560,1.560,"21,363",1.560,"4,941,471",1.560,0.000,0.00,129,1.597,2.590,1.500,"7,889,434",2023-03-15 16:21:26.406709+00:00
,QNNS,MILAHA,-,8.900,"14,223",8.589,8.589,8.555,4,8.386,"554,335",8.800,-0.211,2.40,216,8.611,12.66,7.755,"4,773,556",2023-03-15 16:21:26.406709+00:00
,MCGS,Medicare,=,0.00,"5,337",5.999,6.000,5.869,"1,400",0.00,0,6.000,0.000,0.00,0,0.00,7.825,5.505,0,2023-03-15 16:21:26.406709+00:00
,BEMA,Beema,+,3.800,"13,297",4.049,3.800,3.800,"6,259",3.800,"8,741",3.780,0.020,0.53,2,3.800,5.600,3.600,"33,215",2023-03-15 16:21:26.406709+00:00
,MERS,Al Meera,=,15.50,"41,068",14.70,14.70,14.63,700,14.62,"186,153",14.70,0.00,0.00,112,14.79,19.45,14.62,"2,753,355",2023-03-15 16:21:26.406709+00:00
,WDAM,Widam,-,1.324,"16,115",1.307,1.288,1.288,"37,393",1.284,"428,664",1.311,-0.023,1.75,19,1.303,3.405,1.284,"558,631",2023-03-15 16:21:26.406709+00:00
,QIMD,Ind.Manf Co,+,2.850,"8,000",2.800,2.849,2.720,"3,317",2.710,"1,565",2.800,0.049,1.75,5,2.846,4.149,2.710,"4,453",2023-03-15 16:21:26.406709+00:00
,QOIS,Qatar&Oman,-,0.548,"31,537",0.520,0.519,0.519,"53,127",0.512,"698,600",0.540,-0.021,3.89,44,0.524,0.924,0.512,"366,065",2023-03-15 16:21:26.406709+00:00
,FALH,Al Faleh Education,+,1.060,"14,990",1.060,1.060,1.024,"10,000",1.024,"30,212",1.041,0.019,1.82,4,1.059,1.718,1.001,"32,009",2023-03-15 16:21:26.406709+00:00
,AHCS,Aamal,-,0.899,"91,253",0.880,0.880,0.850,"13,000",0.870,"23,067",0.888,-0.008,0.90,9,0.880,1.327,0.860,"20,294",2023-03-15 16:21:26.406709+00:00
,DOHI,Doha Ins,=,0.00,"5,691",1.970,1.980,1.802,"34,960",0.00,0,1.980,0.000,0.00,0,0.00,2.528,1.820,0,2023-03-15 16:21:26.406709+00:00
,QISI,Islamic Ins,+,8.520,"1,330",8.500,8.520,8.227,"1,326",8.500,"7,460",8.500,0.020,0.23,7,8.509,9.475,7.970,"63,475",2023-03-15 16:21:26.406709+00:00
,ZHCD,Zad,+,14.50,"14,100",14.45,14.45,14.30,70,14.30,"6,000",14.30,0.15,1.05,3,14.49,20.95,13.40,"86,935",2023-03-15 16:21:26.406709+00:00
,QLMI,QLM,-,3.565,"3,746",3.350,3.240,0.00,0,3.240,"16,647",3.241,-0.001,0.03,5,3.253,6.640,3.240,"54,144",2023-03-15 16:21:26.406709+00:00
,QGRI,General Ins,-,0.984,"1,076",0.850,0.850,0.841,"25,000",0.850,"249,072",0.895,-0.045,5.03,17,0.859,2.199,0.850,"213,917",2023-03-15 16:21:26.406709+00:00
,QETF,QETF,+,10.185,"2,748",10.165,10.165,0.00,0,10.155,"15,200",10.140,0.025,0.25,9,10.168,14.500,10.140,"154,550",2023-03-15 16:21:26.406709+00:00
,QATR,QATR,-,2.324,932,2.300,2.300,0.00,0,2.300,"286,068",2.308,-0.008,0.35,9,2.317,3.194,2.092,"662,756",2023-03-15 16:21:26.406709+00:00
,ABQK,Ahli B,+,3.915,"5,000",4.050,3.915,3.915,"20,000",3.905,"164,216",3.905,0.010,0.26,10,3.907,4.420,3.850,"641,589",2023-03-15 16:21:26.406709+00:00
,QCFS,Cinema,=,0.00,"3,320",3.298,3.300,3.060,"2,554",0.00,0,3.300,0.000,0.00,0,0.00,3.790,2.790,0,2023-03-15 16:21:26.406709+00:00
